year,geo_name,geo,cip_name,cip,degree_name,degree,grads_total
2014,"New York, NY","16000US3651000","Social & Philosophical Foundations of Education","130901","Master's Degree","7",30
2015,"New York, NY","16000US3651000","General Special Education & Teaching","131001","Master's Degree","7",424
2013,"New York, NY","16000US3651000","General Special Education & Teaching","131001","Master's Degree","7",1014
2014,"New York, NY","16000US3651000","General Special Education & Teaching","131001","Master's Degree","7",547
2015,"New York, NY","16000US3651000","Education of Individuals with Hearing Impairments","131003","Master's Degree","7",25
2013,"New York, NY","16000US3651000","Education of Individuals with Hearing Impairments","131003","Master's Degree","7",35
2014,"New York, NY","16000US3651000","Education of Individuals with Hearing Impairments","131003","Master's Degree","7",25
2015,"New York, NY","16000US3651000","Education of the Gifted & Talented","131004","Master's Degree","7",6
2013,"New York, NY","16000US3651000","Education of the Gifted & Talented","131004","Master's Degree","7",4
2014,"New York, NY","16000US3651000","Education of the Gifted & Talented","131004","Master's Degree","7",4
2015,"New York, NY","16000US3651000","Education of Individuals with Emotional Disturbances","131005","Master's Degree","7",22
2013,"New York, NY","16000US3651000","Education of Individuals with Emotional Disturbances","131005","Master's Degree","7",28
2014,"New York, NY","16000US3651000","Education of Individuals with Emotional Disturbances","131005","Master's Degree","7",15
2015,"New York, NY","16000US3651000","Education of Individuals with Mental Retardation","131006","Master's Degree","7",27
2013,"New York, NY","16000US3651000","Education of Individuals with Mental Retardation","131006","Master's Degree","7",117
2014,"New York, NY","16000US3651000","Education of Individuals with Mental Retardation","131006","Master's Degree","7",45
2015,"New York, NY","16000US3651000","Education of Individuals with Multiple Disabilities","131007","Master's Degree","7",6
2013,"New York, NY","16000US3651000","Education of Individuals with Multiple Disabilities","131007","Master's Degree","7",7
2014,"New York, NY","16000US3651000","Education of Individuals with Multiple Disabilities","131007","Master's Degree","7",6
2015,"New York, NY","16000US3651000","Education of Individuals with Vision Impairments","131009","Master's Degree","7",11
2013,"New York, NY","16000US3651000","Education of Individuals with Vision Impairments","131009","Master's Degree","7",13
2014,"New York, NY","16000US3651000","Education of Individuals with Vision Impairments","131009","Master's Degree","7",8
2015,"New York, NY","16000US3651000","Education of Individuals with Specific Learning Disabilities","131011","Master's Degree","7",18
2013,"New York, NY","16000US3651000","Education of Individuals with Specific Learning Disabilities","131011","Master's Degree","7",23
2014,"New York, NY","16000US3651000","Education of Individuals with Specific Learning Disabilities","131011","Master's Degree","7",26
2015,"New York, NY","16000US3651000","Education of Individuals with Speech or Language Impairments","131012","Master's Degree","7",1
2013,"New York, NY","16000US3651000","Education of Individuals with Speech or Language Impairments","131012","Master's Degree","7",14
2014,"New York, NY","16000US3651000","Education of Individuals with Speech or Language Impairments","131012","Master's Degree","7",14
