year,geo_name,geo,university_name,university,grads_total
2014,"New York, NY","16000US3651000","Yeshiva Derech Chaim","197647",19
2014,"New York, NY","16000US3651000","Yeshiva Shaar Hatorah","197692",10
2014,"New York, NY","16000US3651000","Yeshiva University","197708",2091
2014,"New York, NY","16000US3651000","Hebrew Union College-Jewish Institute of Religion","203067",154
2014,"New York, NY","16000US3651000","Yeshiva and Kollel Harbotzas Torah","245731",1
2014,"New York, NY","16000US3651000","The Art Institute of New York City","365055",300
2014,"New York, NY","16000US3651000","New York Academy of Art","366368",48
2014,"New York, NY","16000US3651000","Yeshiva Gedolah Imrei Yosef D'spinka","375230",26
2014,"New York, NY","16000US3651000","Dance Theatre of Harlem Inc","383507",2
2014,"New York, NY","16000US3651000","Empire Beauty School-Brooklyn","383765",56
2014,"New York, NY","16000US3651000","Seminar L'moros Bais Yaakov","386153",255
2014,"New York, NY","16000US3651000","School of Professional Horticulture at the New York Botanical Garden","392354",6
2014,"New York, NY","16000US3651000","ASA College","404994",1268
2014,"New York, NY","16000US3651000","Yeshivas Novominsk","405058",1
2014,"New York, NY","16000US3651000","Rabbinical College of Ohr Shimon Yisroel","405854",32
2014,"New York, NY","16000US3651000","Pacific College of Oriental Medicine-New York","414595",150
2014,"New York, NY","16000US3651000","Allen School-Jamaica","415987",281
2014,"New York, NY","16000US3651000","Charles Stuart School of Diamond Setting","418171",35
2014,"New York, NY","16000US3651000","Manhattan School of Computer Technology","420981",258
2014,"New York, NY","16000US3651000","New York Conservatory for Dramatic Arts","421841",121
2014,"New York, NY","16000US3651000","Merkaz Bnos-Business School","427308",175
2014,"New York, NY","16000US3651000","Lia Schorr Institute of Cosmetic Skin Care Training","427335",75
2014,"New York, NY","16000US3651000","Studio Jewelers","430564",130
2014,"New York, NY","16000US3651000","Yeshiva of the Telshe Alumni","431983",7
2014,"New York, NY","16000US3651000","New York Automotive and Diesel Institute","440262",309
2014,"New York, NY","16000US3651000","Metropolitan Learning Institute","441575",447
2014,"New York, NY","16000US3651000","Beis Medrash Heichal Dovid","444413",14
2014,"New York, NY","16000US3651000","Carsten Institute of Cosmetology","447430",94
2014,"New York, NY","16000US3651000","Elite Academy of Beauty Arts","448053",44
2014,"New York, NY","16000US3651000","Aveda Institute-New York","448071",221
2014,"New York, NY","16000US3651000","Brittany Beauty School","449311",119
2014,"New York, NY","16000US3651000","Lincoln Technical Institute-Whitestone","449320",452
2014,"New York, NY","16000US3651000","Ace Computer Training Center","449676",75
2014,"New York, NY","16000US3651000","New Age Training","449685",309
2014,"New York, NY","16000US3651000","Talmudical Seminary of Bobov","451404",57
2014,"New York, NY","16000US3651000","New York Methodist Hospital Center for Allied Health Education","451413",187
2014,"New York, NY","16000US3651000","The Kings College","454184",100
2014,"New York, NY","16000US3651000","Career School of NY","455220",116
2014,"New York, NY","16000US3651000","Yeshiva of Machzikai Hadas","455257",55
2014,"New York, NY","16000US3651000","EDP School of Computer Programming","457794",95
2014,"New York, NY","16000US3651000","New York Medical Career Training Center","457800",82
2014,"New York, NY","16000US3651000","Institute of Culinary Education","457819",546
2014,"New York, NY","16000US3651000","New Life Business Institute","457828",168
2014,"New York, NY","16000US3651000","Academy of Cosmetology and Esthetics NYC","457855",85
2014,"New York, NY","16000US3651000","SAE Institute of Technology-New York","459462",164
2014,"New York, NY","16000US3651000","Hair Design Institute at Fifth Avenue-New York","460446",129
2014,"New York, NY","16000US3651000","Mildred Elley-New York Campus","461014",200
2014,"New York, NY","16000US3651000","The Collective School Of Music","461157",45
2014,"New York, NY","16000US3651000","Manhattan Institute","461351",1901
2014,"New York, NY","16000US3651000","Atelier Esthetique Institute of Esthetics","461768",184
2014,"New York, NY","16000US3651000","Relay Graduate School of Education","475033",366
2014,"New York, NY","16000US3651000","Christie's Education","475510",41
2014,"New York, NY","16000US3651000","Miami Ad School-New York","476355",35
2014,"New York, NY","16000US3651000","Access Careers","476504",709
2014,"New York, NY","16000US3651000","Digital Film Academy","480028",82
2014,"New York, NY","16000US3651000","Sotheby's Institute of Art-NY","481094",120
2014,"New York, NY","16000US3651000","American Academy of Personal Training","481164",182
2014,"New York, NY","16000US3651000","Arrojo Cosmetology School","482194",77
2014,"New York, NY","16000US3651000","DeVry College of New York","482413",423
2014,"New York, NY","16000US3651000","Grace International Beauty School","483841",248
2014,"New York, NY","16000US3651000","Alliance Computing Solutions","483850",76
2014,"New York, NY","16000US3651000","Rabbinical College Ohr Yisroel","484871",6
2015,"New York, NY","16000US3651000","Tri-State College of Acupuncture","130581",40
2015,"New York, NY","16000US3651000","Vaughn College of Aeronautics and Technology","188340",311
2015,"New York, NY","16000US3651000","Globe Institute of Technology","188465",118
2015,"New York, NY","16000US3651000","Allen School-Brooklyn","188650",455
2015,"New York, NY","16000US3651000","The Ailey School","188669",42
2015,"New York, NY","16000US3651000","American Academy of Dramatic Arts-New York","188678",94
