year,geo_name,geo,university_name,university,grads_men,grads_women
2014,"Los Angeles County, CA","05000US06037","Mt San Antonio College","119164",1533,1769
2014,"Los Angeles County, CA","05000US06037","Mount St Mary's College","119173",93,854
2014,"Los Angeles County, CA","05000US06037","Musicians Institute","119270",543,135
2014,"Los Angeles County, CA","05000US06037","Everest College-Reseda","119359",116,367
2014,"Los Angeles County, CA","05000US06037","Everest College-Gardena","119456",55,282
2014,"Los Angeles County, CA","05000US06037","Everest College-Alhambra","119465",94,332
2014,"Los Angeles County, CA","05000US06037","Newberry School of Beauty","119845",2,121
2014,"Los Angeles County, CA","05000US06037","North-West College-Pomona","120069",20,88
2014,"Los Angeles County, CA","05000US06037","North-West College-West Covina","120078",35,233
2014,"Los Angeles County, CA","05000US06037","North-West College-Pasadena","120087",16,101
2014,"Los Angeles County, CA","05000US06037","Occidental College","120254",239,320
2014,"Los Angeles County, CA","05000US06037","Otis College of Art and Design","120403",76,159
2014,"Los Angeles County, CA","05000US06037","Pacific Oaks College","120768",24,376
2014,"Los Angeles County, CA","05000US06037","Pacific States University","120838",37,38
2014,"Los Angeles County, CA","05000US06037","Pasadena City College","121044",1364,1880
2014,"Los Angeles County, CA","05000US06037","Pepperdine University","121150",994,1362
2014,"Los Angeles County, CA","05000US06037","Pitzer College","121257",111,221
2014,"Los Angeles County, CA","05000US06037","Pomona College","121345",208,236
2014,"Los Angeles County, CA","05000US06037","Westwood College-South Bay","121381",100,158
2014,"Los Angeles County, CA","05000US06037","Professional Institute of Beauty","121433",5,59
2014,"Los Angeles County, CA","05000US06037","Pardee RAND Graduate School","121628",23,20
2014,"Los Angeles County, CA","05000US06037","Rio Hondo College","121886",533,727
2014,"Los Angeles County, CA","05000US06037","Rosemead Beauty School","121992",31,113
2014,"Los Angeles County, CA","05000US06037","Dongguk University-Los Angeles","122117",33,39
2014,"Los Angeles County, CA","05000US06037","Westwood College-Los Angeles","122843",425,444
2014,"Los Angeles County, CA","05000US06037","Santa Monica College","122977",1219,1743
2014,"Los Angeles County, CA","05000US06037","Scripps College","123165",6,286
2014,"Los Angeles County, CA","05000US06037","Pinnacle College","123581",76,5
2014,"Los Angeles County, CA","05000US06037","Southern California Institute of Architecture","123952",92,47
2014,"Los Angeles County, CA","05000US06037","University of Southern California","123961",6622,7812
2014,"Los Angeles County, CA","05000US06037","Southwestern Law School","123970",165,167
2014,"Los Angeles County, CA","05000US06037","Claremont School of Theology","124283",28,32
2014,"Los Angeles County, CA","05000US06037","United Education Institute-Huntington Park Campus","124681",691,1252
2014,"Los Angeles County, CA","05000US06037","Universal College of Beauty Inc-Los Angeles 1","124779",2,15
2014,"Los Angeles County, CA","05000US06037","Concorde Career College-North Hollywood","124937",138,374
2014,"Los Angeles County, CA","05000US06037","West Los Angeles College","125471",282,473
2014,"Los Angeles County, CA","05000US06037","Whittier College","125763",278,349
2014,"Los Angeles County, CA","05000US06037","Woodbury University","125897",197,234
2014,"Los Angeles County, CA","05000US06037","Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary","126076",20,0
2014,"Los Angeles County, CA","05000US06037","ITT Technical Institute-Sylmar","244011",192,40
2014,"Los Angeles County, CA","05000US06037","Antioch University-Los Angeles","245838",80,210
2014,"Los Angeles County, CA","05000US06037","Platt College-Los Angeles","260789",111,260
2014,"Los Angeles County, CA","05000US06037","Hypnosis Motivation Institute","368771",29,72
2014,"Los Angeles County, CA","05000US06037","Los Angeles ORT College-Los Angeles Campus","368780",26,67
2014,"Los Angeles County, CA","05000US06037","Everest College-West Los Angeles","368805",47,172
2014,"Los Angeles County, CA","05000US06037","Downey Adult School","371690",117,607
2014,"Los Angeles County, CA","05000US06037","Thuy Princess Beauty College","372000",6,70
2014,"Los Angeles County, CA","05000US06037","North-West College-Glendale","372028",16,93
2014,"Los Angeles County, CA","05000US06037","Everest College-City of Industry","372037",173,405
2014,"Los Angeles County, CA","05000US06037","Fremont College","372073",55,78
2014,"Los Angeles County, CA","05000US06037","Pomona Unified School District Adult and Career Education","372082",30,117
2014,"Los Angeles County, CA","05000US06037","Universal College of Beauty Inc-Los Angeles 2","372240",1,8
2014,"Los Angeles County, CA","05000US06037","Capstone College","377759",48,4
2014,"Los Angeles County, CA","05000US06037","ITT Technical Institute-Torrance","378406",156,35
2014,"Los Angeles County, CA","05000US06037","Los Angeles ORT College-Van Nuys Campus","381945",25,57
2014,"Los Angeles County, CA","05000US06037","Hacienda La Puente Adult Education","383084",277,485
2014,"Los Angeles County, CA","05000US06037","Alhambra Beauty College","393524",75,155
2014,"Los Angeles County, CA","05000US06037","American Auto Institute","393649",282,752
2014,"Los Angeles County, CA","05000US06037","Diversified Vocational College","395690",273,539
2014,"Los Angeles County, CA","05000US06037","Mt Sierra College","398130",50,20
2014,"Los Angeles County, CA","05000US06037","Wyotech-Long Beach","398574",859,95
2014,"Los Angeles County, CA","05000US06037","World Mission University","401223",21,29
2014,"Los Angeles County, CA","05000US06037","Yo San University of Traditional Chinese Medicine","401250",8,25
2014,"Los Angeles County, CA","05000US06037","Coast Career Institute","401339",81,79
