year,geo_name,geo,cip_name,cip,degree_name,degree,grads_total
2015,"Los Angeles County, CA","05000US06037","Computer & Information Systems Security","111003","Bachelor's Degree","5",83
2013,"Los Angeles County, CA","05000US06037","Computer & Information Systems Security","111003","Bachelor's Degree","5",102
2014,"Los Angeles County, CA","05000US06037","Computer & Information Systems Security","111003","Bachelor's Degree","5",123
2013,"Los Angeles County, CA","05000US06037","Web Multimedia Management & Webmaster","111004","Bachelor's Degree","5",1
2015,"Los Angeles County, CA","05000US06037","Other Computer & Information Technology Services Management","111099","Bachelor's Degree","5",6
2013,"Los Angeles County, CA","05000US06037","Other Computer & Information Technology Services Management","111099","Bachelor's Degree","5",6
2015,"Los Angeles County, CA","05000US06037","Other Computer & Information Support Services","119999","Bachelor's Degree","5",9
2013,"Los Angeles County, CA","05000US06037","Other Computer & Information Support Services","119999","Bachelor's Degree","5",3
2014,"Los Angeles County, CA","05000US06037","Other Computer & Information Support Services","119999","Bachelor's Degree","5",4
2015,"Los Angeles County, CA","05000US06037","Restaurant, Culinary, & Catering Management","120504","Bachelor's Degree","5",16
2013,"Los Angeles County, CA","05000US06037","Restaurant, Culinary, & Catering Management","120504","Bachelor's Degree","5",11
2014,"Los Angeles County, CA","05000US06037","Restaurant, Culinary, & Catering Management","120504","Bachelor's Degree","5",25
2015,"Los Angeles County, CA","05000US06037","General Education","130101","Bachelor's Degree","5",6
2013,"Los Angeles County, CA","05000US06037","General Education","130101","Bachelor's Degree","5",11
2014,"Los Angeles County, CA","05000US06037","General Education","130101","Bachelor's Degree","5",12
2015,"Los Angeles County, CA","05000US06037","Multicultural Education","130202","Bachelor's Degree","5",1
2015,"Los Angeles County, CA","05000US06037","Urban Education & Leadership","130410","Bachelor's Degree","5",2
2013,"Los Angeles County, CA","05000US06037","Urban Education & Leadership","130410","Bachelor's Degree","5",3
2014,"Los Angeles County, CA","05000US06037","Urban Education & Leadership","130410","Bachelor's Degree","5",2
2015,"Los Angeles County, CA","05000US06037","General Special Education & Teaching","131001","Bachelor's Degree","5",14
2014,"Los Angeles County, CA","05000US06037","General Special Education & Teaching","131001","Bachelor's Degree","5",13
2015,"Los Angeles County, CA","05000US06037","Elementary Education & Teaching","131202","Bachelor's Degree","5",20
2013,"Los Angeles County, CA","05000US06037","Elementary Education & Teaching","131202","Bachelor's Degree","5",49
2014,"Los Angeles County, CA","05000US06037","Elementary Education & Teaching","131202","Bachelor's Degree","5",19
